"","A2","A3","A5","A7","A8","B3","Age","B7","B9","B11","B12","C2","C12","E2_9group","E4_21group","E6","E7","E8_a","E8_b","E8_c","E8_d","E8_e","E8_f","E8_g","E8_h","E8_i","E9","E10","E13","E13_1","E14_1","E14_2","E14_Result","E15","E16","E17","E22","E23","E24","G1_1","G1_2","J8","J9","J10_1","J10_2","J11_1","J11_2","J12_14group","J13","J14","J15","J15_Year","J16","J17_10group","J18","J19","J20","J21","J22","Weights_1","WeightsCalib_1","Weights_Year","WeightsCalib_Year","resident","nonresident","LR_WAP","LF","PNLF","empj","underemployed","iempj","emsj","iemsj","LU1_unemployed","LU2_combined","LU3_potential","LU4_composite","long_term_unemployed"
"11",7,1,1,3,3,2,52,10,2,2,5,1,1,2,21,2,1,1,1,1,1,2,1,1,2,2,NA,2,NA,NA,350000,0,1,NA,4,1,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,933.39291794348,189.867563372286,228.196477954846,22.7999999999987,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8,1,1,1,1,2,57,10,2,4,5,1,1,2,7,2,1,1,1,1,1,2,2,1,2,2,NA,3,1,2,78000,0,1,NA,4,2,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,933.39291794348,189.867563372286,228.196477954846,22.7999999999987,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,1,1,4,2,1,36,5,2,2,5,1,1,8,7,2,1,1,1,1,2,2,1,1,2,2,NA,3,7,NA,93000,0,1,NA,4,1,1,7,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738.508682328907,1078.80613072058,180.551059480757,298.173915364788,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",4,1,1,3,3,1,63,7,2,2,5,1,1,7,6,2,1,1,1,1,2,2,2,1,2,2,NA,1,NA,NA,80000,0,1,NA,4,2,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738.508682328907,1078.80613072058,180.551059480757,298.173915364788,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",4,1,1,3,3,2,53,5,2,2,5,1,1,5,17,2,1,1,1,1,2,2,2,1,2,2,NA,1,NA,NA,60000,0,1,NA,4,1,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738.508682328907,1078.80613072058,180.551059480757,298.173915364788,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4,1,1,3,3,2,33,7,2,1,5,1,1,3,17,2,1,1,1,1,2,2,2,1,2,2,NA,1,NA,NA,40000,0,1,NA,4,1,1,5,2,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738.508682328907,1078.80613072058,180.551059480757,298.173915364788,1,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA
"17",5,1,1,7,4,2,57,5,2,2,5,1,1,5,7,2,2,2,2,2,2,2,2,2,2,2,NA,3,1,2,1e+05,0,1,NA,4,1,1,7,1,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738.508682328907,1078.80613072058,180.551059480757,298.173915364788,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"18",9,1,1,3,3,2,51,7,2,2,5,1,1,7,3,2,1,1,1,1,2,2,2,1,2,2,NA,3,6,NA,0,0,6,NA,NA,1,1,7,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738.508682328907,1078.80613072058,180.551059480757,298.173915364788,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",9,1,1,3,3,2,22,6,2,1,5,1,1,4,7,2,1,1,1,1,2,2,2,1,2,2,NA,3,5,NA,80000,0,1,NA,4,2,1,5,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738.508682328907,1078.80613072058,180.551059480757,298.173915364788,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,1,1,4,3,2,43,10,2,2,5,1,1,4,3,2,1,1,1,1,1,2,2,1,2,2,NA,3,5,NA,132000,0,1,NA,4,1,1,5,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271.8760640109,399.404988522257,310.949046883526,131.6513016544,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",6,1,1,3,2,1,31,8,2,2,5,1,1,3,7,2,1,1,1,1,1,2,2,1,2,2,NA,3,6,NA,2e+05,0,1,NA,4,2,1,2,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271.8760640109,399.404988522257,310.949046883526,131.6513016544,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",6,1,1,3,2,2,33,10,2,2,5,1,1,2,15,2,1,1,1,1,1,2,2,1,2,2,NA,1,NA,NA,143000,0,1,NA,4,2,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271.8760640109,399.404988522257,310.949046883526,131.6513016544,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",8,1,1,2,2,1,50,7,2,2,5,1,1,7,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,150000,0,1,NA,4,2,1,7,1,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271.8760640109,399.404988522257,310.949046883526,131.6513016544,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"24",10,1,1,2,2,2,68,10,2,3,5,1,1,2,17,2,1,1,1,1,1,2,2,1,2,2,NA,1,NA,NA,125000,0,1,NA,4,1,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1271.8760640109,399.404988522257,310.949046883526,131.6513016544,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2,1,1,6,5,2,47,8,2,2,5,1,1,4,10,2,1,1,1,1,1,2,2,1,2,2,NA,1,NA,NA,54300,0,1,NA,4,2,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687.223357167177,1556.39196699253,168.01279146126,380.871048209055,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",11,1,1,6,4,1,64,5,2,2,5,1,1,7,5,2,1,1,1,1,2,2,2,1,2,2,NA,3,7,NA,139000,0,1,NA,4,1,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687.223357167177,1556.39196699253,168.01279146126,380.871048209055,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",11,1,1,6,4,2,28,9,2,2,5,1,1,2,16,2,1,1,1,1,1,2,1,1,2,2,NA,1,NA,NA,65000,0,1,NA,4,1,1,2,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687.223357167177,1556.39196699253,168.01279146126,380.871048209055,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",3,1,1,3,2,2,36,8,2,2,5,1,1,4,10,2,1,1,1,1,2,2,2,1,2,2,NA,3,7,NA,55000,0,1,NA,4,2,1,2,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.709227102486,440.201943424754,162.997484253461,99.7813895613381,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",6,1,1,7,4,2,40,5,2,2,2,1,1,9,3,2,1,1,1,1,2,2,2,1,2,2,NA,3,7,NA,80000,0,1,NA,4,1,1,7,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.709227102486,440.201943424754,162.997484253461,99.7813895613381,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",6,1,1,7,4,1,45,4,2,2,5,1,1,7,7,2,1,1,1,1,2,2,2,1,1,2,NA,3,3,NA,120000,0,1,NA,4,1,1,6,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.709227102486,440.201943424754,162.997484253461,99.7813895613381,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",10,1,1,4,4,1,50,6,2,2,5,1,1,8,3,2,1,1,1,1,2,2,2,2,2,2,NA,3,4,NA,1e+05,0,1,NA,4,1,1,7,1,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.709227102486,440.201943424754,162.997484253461,99.7813895613381,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",10,1,1,4,4,2,45,7,2,2,5,1,1,3,17,2,1,1,1,1,2,2,2,1,2,2,NA,3,5,NA,75000,0,1,NA,4,1,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.709227102486,440.201943424754,162.997484253461,99.7813895613381,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",10,1,1,4,4,2,24,7,2,1,5,1,1,3,17,2,1,1,1,1,2,2,2,1,2,2,NA,3,4,NA,60000,0,1,NA,4,1,1,4,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.709227102486,440.201943424754,162.997484253461,99.7813895613381,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",11,1,1,3,3,2,61,7,2,1,5,1,1,9,7,2,1,1,1,1,2,2,2,1,2,2,NA,3,1,3,70000,0,1,NA,4,1,1,7,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.709227102486,440.201943424754,162.997484253461,99.7813895613381,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",11,1,1,3,3,2,55,5,2,2,5,1,1,5,7,2,1,1,1,1,2,2,2,1,2,2,NA,3,1,3,1e+05,0,1,NA,4,1,1,7,1,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.709227102486,440.201943424754,162.997484253461,99.7813895613381,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",5,1,1,4,4,1,63,7,2,2,5,1,1,5,18,2,1,1,1,1,1,2,1,1,2,2,NA,1,NA,NA,60000,0,1,NA,4,1,1,5,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830.82226762002,1196.25574010332,203.119941915852,238.577998432056,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",5,1,1,4,4,2,36,5,2,1,5,1,1,9,13,2,1,1,1,1,1,2,1,1,2,2,NA,1,NA,NA,54000,0,1,NA,4,1,1,5,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830.82226762002,1196.25574010332,203.119941915852,238.577998432056,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2,2,1,5,4,1,31,8,2,2,5,1,1,2,3,2,1,1,1,1,1,2,3,1,3,2,NA,3,7,NA,180000,0,1,NA,4,1,1,7,1,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.599700710812,434.704088205906,110.405818181818,92.0605626335964,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",4,2,1,5,4,1,59,6,2,2,5,1,1,8,6,2,1,2,1,2,1,1,2,2,2,2,NA,3,7,NA,150000,0,1,NA,4,1,1,7,1,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.599700710812,434.704088205906,110.405818181818,92.0605626335964,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",4,2,1,5,4,1,30,6,2,2,5,1,1,3,10,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,2e+05,0,1,NA,4,1,1,6,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.599700710812,434.704088205906,110.405818181818,92.0605626335964,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"41",6,2,1,1,1,2,63,5,2,3,5,1,1,5,9,1,2,2,2,2,2,1,2,2,2,1,NA,3,2,NA,86000,0,1,NA,4,1,1,7,1,72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.599700710812,434.704088205906,110.405818181818,92.0605626335964,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"42",7,2,1,4,2,1,37,5,2,2,5,1,1,9,6,2,2,2,2,2,2,2,2,2,2,1,NA,3,2,NA,250000,0,1,NA,4,1,1,7,1,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.599700710812,434.704088205906,110.405818181818,92.0605626335964,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"43",9,2,1,3,3,2,60,10,2,2,5,1,1,2,16,2,1,1,1,1,1,2,1,1,2,2,NA,1,NA,NA,85000,0,1,NA,4,1,1,7,2,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.599700710812,434.704088205906,110.405818181818,92.0605626335964,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",10,2,1,2,2,1,49,5,2,2,5,1,1,7,3,2,2,2,2,2,2,2,2,2,2,2,NA,3,7,NA,70000,0,1,NA,4,1,1,7,1,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.599700710812,434.704088205906,110.405818181818,92.0605626335964,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"45",10,2,1,2,2,2,43,5,2,2,5,1,1,7,8,2,2,2,2,2,2,2,2,2,2,2,NA,3,7,NA,40000,0,1,NA,4,1,1,6,1,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.599700710812,434.704088205906,110.405818181818,92.0605626335964,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"46",11,2,1,1,1,2,57,5,2,3,5,1,1,9,7,2,1,1,1,1,2,2,2,1,2,2,NA,3,7,NA,60000,0,1,NA,4,1,1,6,1,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.599700710812,434.704088205906,110.405818181818,92.0605626335964,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1,2,2,3,2,1,59,5,2,2,5,1,1,6,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,2e+05,0,1,NA,4,1,4,7,1,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"48",1,2,2,3,2,2,55,5,2,2,5,1,1,9,1,1,1,1,1,1,1,2,2,2,2,2,NA,3,7,NA,80000,0,1,NA,4,1,1,7,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2,2,2,3,3,1,61,5,2,2,5,1,1,6,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,150000,0,1,NA,4,1,4,7,2,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"50",2,2,2,3,3,2,59,5,2,2,5,1,1,6,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,1e+05,0,1,NA,4,1,4,7,2,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"51",4,2,2,3,3,1,51,5,2,2,5,1,1,9,6,1,2,2,2,2,2,2,1,1,2,2,NA,3,1,3,90000,0,1,NA,3,1,4,1,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"52",5,2,2,4,3,2,46,5,2,3,5,1,1,6,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,250000,0,1,NA,4,1,4,7,1,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"53",5,2,2,4,3,1,26,5,2,1,5,1,1,9,1,4,1,1,1,3,3,2,2,3,2,2,NA,3,7,NA,80000,0,1,NA,4,1,1,6,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",8,2,2,5,4,2,36,5,2,2,5,1,1,6,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,150000,0,1,NA,4,1,4,7,2,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"55",9,2,2,6,6,2,40,5,2,1,5,1,1,6,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,0,0,6,NA,NA,1,4,5,2,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"56",10,2,2,4,4,1,26,5,2,1,5,1,1,9,3,1,1,1,1,1,1,2,2,1,2,2,NA,3,7,NA,90000,0,1,NA,4,1,1,6,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1,2,2,3,3,1,27,5,2,1,5,1,1,9,6,2,2,2,2,2,2,2,2,2,2,1,NA,3,2,NA,180000,0,1,NA,4,1,1,5,1,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.41977544368,204.234262045759,90.191327865992,56.3307324479933,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"58",2,2,2,3,2,1,49,5,2,2,5,1,1,6,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3e+05,1e+05,5,NA,6,1,4,7,2,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.41977544368,204.234262045759,90.191327865992,56.3307324479933,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"59",2,2,2,3,2,2,44,5,2,2,5,1,1,5,7,1,2,2,2,2,2,2,2,2,2,2,NA,3,1,3,30000,0,1,NA,4,1,1,6,2,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.41977544368,204.234262045759,90.191327865992,56.3307324479933,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"60",3,2,2,10,4,2,32,8,2,2,5,1,1,4,16,1,1,1,1,1,1,2,1,1,2,2,NA,1,NA,NA,31000,0,1,NA,4,2,1,6,2,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.41977544368,204.234262045759,90.191327865992,56.3307324479933,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",6,2,2,6,4,1,48,5,2,2,5,1,1,6,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,150000,80000,5,NA,6,1,4,7,2,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.41977544368,204.234262045759,90.191327865992,56.3307324479933,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"62",9,2,2,6,4,1,32,5,2,2,5,1,1,9,16,1,1,1,1,1,1,2,1,1,2,2,NA,1,NA,NA,55000,0,1,NA,4,1,1,7,2,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.41977544368,204.234262045759,90.191327865992,56.3307324479933,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
